resolves,corpus,path,what_it_is,words,status_vs_original,why_it_matters
r001-5 databases PRIMARY,__Send,SGraph-AI__App__Send/team/humans/dinis_cruz/briefs/07/12/architecture/v0.33.48__arch-brief__sg-send-browser-local-databases-query-engine-vault-source-of-truth-incremental-sync-no-backend.md,The Browser Is The Database,2229,retained - still correct,Carries the exact founder quote resolving item 5. IndexedDB + SQLite via WASM.
r001-8 IssuesFS case study,ifs-modules,ifs-modules/Issues-FS/issues_fs/schemas/graph/Safe_Str__Graph_Types.py,Five regex-validated ID primitives,-,**UPGRADED**,The single best teaching artefact in the codebase. strict_validation = True.
r001-8 IssuesFS case study,ifs-modules,ifs-modules/Issues-FS/issues_fs/schemas/graph/Schema__Node.py,"Node schema, 13 fields, two identities per node",-,**UPGRADED**,Machine node_id + human label. Carries five honest todo markers.
r001-8 IssuesFS case study,ifs-modules,ifs-modules/Issues-FS/issues_fs/schemas/graph/Schema__Node__Link.py,"Edge schema - bidirectional, denormalised",-,**UPGRADED**,Explains why 71 nodes report 141 link entries. The book should state this or readers who count will think the numbers are wrong.
r001-8 IssuesFS case study,__Send,SGraph-AI__App__Send/.issues/,"Live graph: 71 nodes, 141 link entries, depth 8",84 files,retained,"Schema-complete, deeply hierarchical. Ecosystem-wide 147 nodes across four graphs."
r001-8 IssuesFS · undocumented,ifs-modules,ifs-modules/Issues-FS/issues_fs/issues/issues_file/,The .issues flat-file DSL - 11 source files,~55 tests,**NEW**,"Built, tested, 3 live examples, ZERO prose documentation anywhere."
r001-8 IssuesFS · lite mode,__Send,SGraph-AI__App__Send/team/humans/dinis_cruz/briefs/05/06/email-fs-lite-v0.6.md,Issues-FS-lite spec (section 7),8229 / ~1100,**NEW**,"Agent mode, no binary, four mv operations. Specified inside an EMAIL manual in a different repo."
r002-4 evidence layer,__Send,SGraph-AI__App__Send/team/humans/dinis_cruz/briefs/07/31/projects-budgets-and-evidence/v0.33.54__strategy-brief__sg-send-paying-the-fact-creator-contextual-validation-not-truth-micropayments-for-correct-use.md,Paying The Fact Creator,3382,retained - still correct,"242 papers cited to pubmed 19622839 (Greenberg BMJ 2009). 10,000 hours: 1993 Berlin violin study, Gladwell/Ericsson named, 3 URLs."
N3 · G3 published name,docs.diniscruz.ai,https://docs.diniscruz.ai/2025/05/30/graphs-of-graphs-of-graphs-g3-in-threat-modeling.html,Graphs of Graphs of Graphs (G3) in Threat Modeling,3855,re-weighted,Answers the 'graphs of graphs' half of N3. NOT the origin of 'meaning through connectivity'.
provenance record,__Send,SGraph-AI__App__Send/library/concepts/README.md,The 11 June 2026 import record,254,**NEW**,States the docs are 'references - not SGraph Send artifacts' and were imported BECAUSE the June briefs assume meaning-through-connectivity as a first principle.
LICENCE,,This file is released under the Creative Commons Attribution 4.0 International licence (CC BY 4.0).,,,,
