tier,repo_path,title,concepts_or_topic,kind,proposed_page,publishability,why_it_matters
1,team/humans/dinis_cruz/briefs/07/17/architecture-and-mvp/v0.33.49__arch-brief__sg-send-fractal-distributed-vault-architecture-registers-of-registers-messages-as-graph-transformations-transaction-log-pki-authorization.md,"Registers Of Registers, Messages As Transformations","C18,C7",arch-brief,/depth/ (more shelf),needs framing,The message IS the change. 18/26 validated graph. Interleaved with RiskMandate specifics - needs de-scoping.
1,team/humans/dinis_cruz/briefs/07/17/registers-mandate-and-intervals/v0.33.49__arch-brief__sg-send-fractal-risk-registers-one-per-accepting-role-domain-language-relevance-fade.md,Fractal Risk Registers,"worked example,C7",arch-brief,/examples/ (shorter entry),clean,"18 nodes 31 edges, 0 dangling, 0 orphans. Carries an honest self-declared defect: neither grounds to Reality through a Twin."
1,team/humans/dinis_cruz/briefs/08/02/vault-as-substrate/v0.33.55__arch-brief__sg-send-graph-canvas-repl-un-blinding-the-agent-mermaid-for-output-never-render-whole-graph.md,The Graph Canvas As A REPL,C13,arch-brief,/grammar/the-blob/,needs editing,"Never render the whole graph, render the result of a query. Mermaid for output never as canvas. Dense memo style - edit for public audience."
1,team/humans/dinis_cruz/briefs/07/28/regulation-graph-and-acceptability/v0.33.53__arch-brief__sg-send-every-paragraph-is-a-graph-eu-ai-act-definitions-as-nodes-twins-as-hooks-with-concepts-appendix.md,Every Paragraph Is A Graph (+ Appendix A),"C20,C14,C7,C6,C1,C10,C12",arch-brief,/examples/regulation-graph/,clean,APPENDIX A IS THE BEST EXISTING CONCEPT SUMMARY IN THE CORPUS - written explicitly because agents will not have the prior corpus in context. A direct precursor of this website.
1,team/humans/dinis_cruz/briefs/07/28/regulation-graph-and-acceptability/v0.33.53__arch-brief__sg-send-customised-standard-eu-ai-act-graph-nothing-relevant-until-facts-attach-browser-query-layer.md,The Customised Standard,"C19,C13",arch-brief,/examples/regulation-graph/,clean,The customisation inversion: a standard that starts empty and grows only as your facts attach. The most immediately gettable idea in the corpus.
1,team/humans/dinis_cruz/briefs/07/31/canonical-act-build/v0.33.54__arch-brief__sg-send-canonical-ai-act-paragraph-as-file-amendment-as-native-graph-operation-view-from-any-provision.md,Paragraph As File; Amendment As Graph Operation,"C19,C20,C29",arch-brief,/examples/regulation-graph/,clean,"Consolidation and customisation turn out to be one mechanism, not two. Closes the loop back to the 23 Feb paragraph-as-file idea."
1,team/humans/dinis_cruz/briefs/07/31/canonical-act-build/v0.33.54__arch-brief__sg-send-document-ontology-positional-and-content-hashes-taxonomy-upward-ontology-outward-document-agnostic.md,"Taxonomy Upward, Ontology Outward",C20,arch-brief,/glossary/,clean,The clearest statement of taxonomy vs ontology in the corpus. Feeds the glossary directly.
1,team/humans/dinis_cruz/briefs/05/30/v0.31.9__arch-brief__sg-send-vault-per-standard-document-to-graph-artefacts.md,Vault Per Standard: Document To Graph,"C19,C20,C7",arch-brief,/depth/ (more shelf),clean,The universal document-to-graph pipeline. The moment graphs stopped being infrastructure and became the product.
1,team/humans/dinis_cruz/briefs/06/20/ontology-and-naming/v0.33.30__arch-brief__sg-send-agent-mandate-ontology-and-taxonomy-entities-relationships-parties-assets-harms-risk.md,The Agent Mandate Ontology,worked example,arch-brief,/examples/ (shorter entry),clean,16 core entities plus 8 taxonomies. The here-is-the-vocabulary page. Small enough to render on one screen.
1,team/humans/dinis_cruz/briefs/06/19/standards-compliance-supply-chain/v0.33.28__arch-brief__sg-send-compliance-standards-intersection-subset-graph-binary-breach-before-the-agent-acts.md,Compliance Standards Intersection,worked example,arch-brief,/examples/ (shorter entry),clean,"Compliance is a computed function of your actual deployment, not a checkbox. The intersection-subset construction is genuinely graph-shaped."
1,team/humans/dinis_cruz/briefs/06/18/agentic-permissions/v0.33.40__arch-brief__permissions-bill-of-materials-augmenting-sbom-permissions-gate-exploitability.md,Permissions Bill of Materials (PBOM),worked example,arch-brief,/examples/pbom/,clean,SBOM for permissions. Appears in 38 files - one of the most cross-referenced concepts. Needs no setup for a security audience.
1,team/humans/dinis_cruz/briefs/06/22/market-cases-and-graph/v0.33.32__research-brief__sg-send-published-incidents-mapped-to-agent-mandate-ontology-self-contained-for-downstream-agent.md,Published Incidents Mapped To The Ontology,worked example,research-brief,/examples/incidents/,check vendor naming,Real incidents are the most persuasive content a public graph site can carry. Written self-contained for a downstream agent.
1,team/humans/dinis_cruz/briefs/05/24/sg-sentinel-batch2/v0.27.60__arch-brief__sg-sentinel-control-flow-graphs-business-logic.md,Control Flow Graphs and Business Logic,worked example,arch-brief,/network/sg-sentinel/,clean,"Nodes = application states, edges = permitted transitions. The universe of what is possible is determined by current state - the WAF Achilles heel."
1,team/humans/dinis_cruz/briefs/05/22/sg-sentinel/v0.27.58__arch-brief__sg-sentinel-compliance-as-living-graph.md,Compliance As A Living Graph,"C19,C20",arch-brief,/network/sg-sentinel/,needs framing,No WAF means these properties genuinely unmet; data encrypted means those met for free. Compliance posture as a computed function.
1,team/humans/dinis_cruz/briefs/02/21/part-1/v0.4.27__architecture__chain-of-trust-and-key-graphs.md,Chain of Trust and Key Graphs,"C1 seed,C23",architecture,"/origins/, /network/pki/",needs framing,"THE EARLIEST GRAPH DOCUMENT IN THE CORPUS (21 Feb). Revocation is the absence of trust, not the presence of a revocation entry. 63 box-drawing lines."
1,team/humans/dinis_cruz/briefs/02/23/part-3/v0.6.14__architecture__fractal-document-signing-pki-paragraphs.md,Fractal Document Signing: PKI-Signed Paragraphs,"C7 seed,C20 seed",architecture,/origins/,clean,"Graphs of graphs of graphs applied to a signed document, 23 Feb. Dormant five months, then becomes the spine of the EU AI Act build. GREAT PROVENANCE STORY."
1,team/humans/dinis_cruz/briefs/03/25/v0.16.61__arch-brief__state-machines-ontologies.md,"State Machines, Ontologies, Digital Twin of the Website","C14 seed,C5",arch-brief,/origins/,clean,A bug is where reality diverges from the model. First doc where a graph is the source of truth about the product itself.
1,team/humans/dinis_cruz/briefs/07/24/sovereignty-and-osmm/v0.33.51__arch-brief__sg-send-ontology-sovereignty-maturity-model-osmm-fractal-predicates-change-of-control-stress-test.md,"OSMM: Sovereignty Computed, Not Claimed","C7,C8",arch-brief,/depth/ (more shelf),clean,"Applies node-type-formula thinking recursively to sovereignty itself. Computed, not claimed - the corpus's proudest line."
1,team/humans/dinis_cruz/briefs/07/02/authorization-and-maturity-model/v0.33.40__arch-brief__sg-send-risk-acceptance-maturity-model-ramm-graph-native-levels-agentic-crosswalk.md,RAMM - Risk Acceptance Maturity Model,"worked example,C8",arch-brief,/examples/ (shorter entry),clean,"Five maturity levels as Node Type Formulas - a level is a fact about the graph, not a questionnaire claim."
1,team/humans/dinis_cruz/briefs/07/24/who-can-pull-the-plug/v0.33.51__strategy-brief__sg-send-who-can-pull-the-plug-ability-to-stop-an-ai-system-fractal-maturity-model-detection-authority-blast-radius-reversibility-intersect-in-time.md,Who Can Pull The Plug,worked example,strategy-brief,/examples/ (shorter entry),clean,Four-way Venn that must intersect IN TIME. Hard number: hyperscaler cost reporting is 12-18h late = the detection floor.
1,team/humans/dinis_cruz/briefs/06/13/vault-platform-and-commercialisation/v0.33.26__arch-brief__sg-send-agentic-content-website-provenance-decision-graph-research-publish.md,Provenance and Decision Graph Per Article,worked example,arch-brief,/examples/ (shorter entry),clean,"Every article carries its source docs, analysis, transformations and verifications as a graph. ~90% of the stack already built."
1,team/humans/dinis_cruz/briefs/06/04/v0.32.3__strategy-brief__sg-send-skills-as-graph-capturing-how-business-works.md,Skills As A Graph,"C19,C7",strategy-brief,/depth/ (more shelf),clean,"A skill is a graph of skills, not a static document. Built-in error correction because it is used daily."
1,team/humans/dinis_cruz/briefs/06/26/risk-register-and-five-whys/v0.33.35__arch-brief__sg-send-risk-register-graph-of-graphs-facts-only-no-deny-cascade-cia-blast-radius.md,Risk Register As A Graph Of Graphs,"C7,C15",arch-brief,/examples/2fa/,needs framing,"Facts only, no-deny, cascade, CIA blast radius. Source of the air-gap concept (C15)."
1,team/humans/dinis_cruz/briefs/06/26/digital-twins-and-world-models/v0.33.35__arch-brief__sg-send-digital-twins-integration-layer-real-world-tracked-air-gaps-agent-twin.md,Twins Integration Layer and Tracked Air Gaps,"C15,C14,C1",arch-brief,/depth/twins-and-air-gaps/,needs framing,The only substantive treatment of the air gap. C15 has no home document - this is the closest thing (G9).
1,library/concepts/v0_4_0__lexicon-architecture.md,Lexicon Architecture: The Root Graph,"C6,C26,C7,C9",essay,/grammar/anchor-nodes/,LICENCE + descope,"Lines 91-189 are a 97-row ASCII anchor-node ontology tree - REDRAW AS SVG, the site's signature diagram. Issues-FS specific; needs de-scoping and a licence."
1,library/concepts/README.md,Foundational Concepts Library,index,index,internal reference,LICENCE,"254-word import manifest, not an introduction. Explains why the three sit together and records the Issues-FS provenance."
1,team/humans/dinis_cruz/briefs/06/10/_to-librarian/memo-to-librarian__thinking-in-graphs.md,Issues-FS Documentation Import memo,provenance,memo,internal reference,internal-only,"THE SMOKING GUN for why agents miss the philosophy: Phase 1 executed, Phase 2 (the CLAUDE.md cross-reference) never was."
1,team/humans/dinis_cruz/briefs/05/24/sg-send-thread/v0.27.60__strategy-brief__sg-send-wardley-maps-rendered.md,The Maps Themselves (8 rendered),maps,strategy-brief,/maps/strategy/,clean,8 wardley-beta blocks + a prose story per map + 8 verified PNGs in the sibling wardley-maps/ folder.
1,team/humans/dinis_cruz/briefs/05/24/sg-send-thread/v0.27.60__strategy-brief__sg-send-wardley-maps-setup-and-mermaid-capability.md,Wardley Maps: The Setup,maps,strategy-brief,/maps/how-to-render/,clean,"A genuinely useful public how-to: what a Wardley map is, the [visibility, evolution] rule, the render toolchain, the naming caveat."
1,team/humans/dinis_cruz/briefs/06/23/wardley-maps/v0.33.33__strategy-brief__wardley-maps-primer-what-a-wardley-map-is-in-context-of-agent-mandates.md,Wardley Maps Primer,maps,strategy-brief,/maps/primer/,clean,"846 words. A clean short public primer, directly reusable as site copy."
1,team/humans/dinis_cruz/briefs/06/23/wardley-maps/v0.33.33__strategy-brief__sg-send-wardley-maps-first-pass-eight-maps-user-needs-before-after.md,Eight Agent-Mandate Maps (user needs),maps,strategy-brief,/maps/,"clean, unrendered","8 maps as before/after position tables. Map 4 (The Agent As A User) is the sharpest: execution is commodity, the safe uninjected decision is genesis."
1,team/humans/dinis_cruz/briefs/06/19/strategy-phase-and-shipping/v0.33.28__strategy-brief__sg-send-wardley-maps-productizing-commoditizing-permissions-explorer-phase.md,Permissions and Risk Landscape Maps,maps,strategy-brief,/maps/permissions/,"clean, UNRENDERED",4 render-ready wardley-beta blocks (lines 31/61/94/126). THE MOST GRAPH-RELEVANT MAPS IN THE REPO. Includes a component named Hope Driven Development.
1,team/humans/dinis_cruz/briefs/07/28/mvp-and-field-demo/v0.33.53__strategy-brief__sg-send-wardley-map-of-the-airgapped-register-custom-evolution-axes-broken-middle-shape.md,The Air-Gap Map,"maps,C15",strategy-brief,/maps/the-air-gap/,"clean, ASCII only",THE BEST SINGLE MAP FOR A PUBLIC SITE: a competent organisation whose investments do not connect. Plus the custom-evolution-axis adjudication rule.
1,team/humans/dinis_cruz/briefs/08/14/sgit-site-and-hub/v0.33.58__strategy-brief__sgit-topic-sections-catalogue-read-keys-yes-write-keys-never-frozen-vaults.md,"sgit Topic Sections; Read Keys Yes, Write Keys Never",site conventions,strategy-brief,internal reference,internal-only,"READ BEFORE DESIGNING ANYTHING. Triple duty per section, the Mermaid coordinate trap, the read-key rule, the frozen-vault property. Contains the founder line that commissions this site."
1,team/humans/dinis_cruz/briefs/08/14/sgit-site-and-hub/v0.33.58__cross-team-brief__sgit-ai-agent-access-report-markdown-is-excellent-site-is-not-indexed.md,Agent Access Report: llms.txt Is The Whole Surface,site conventions,cross-team-brief,internal reference,internal-only,The measured crawler-invisibility finding and the three mitigations. Determines this site's rendering strategy.
1,library/guides/vault-html/AUTHORING.md,Vault HTML Authoring (window.sg API),engineering,guide,/shipped/ (excerpt),clean (excerpt 701-728),"The public sg.history.* API: how a sandboxed app queries the commit DAG without holding a key. Concrete, runnable, already written for external authors."
1,team/humans/dinis_cruz/briefs/03/17/vault-redesign/v0.16.3__arch-note__four-layer-model.md,The Four-Layer Model,"engineering,vault-as-graph",arch-note,/shipped/,clean,"THE BEST DOCUMENT FOR THE VAULT-AS-GRAPH ARGUMENT: not fundamentally an encryption system, a content-addressed portable storage-agnostic version control protocol. Carries its own honest caveat."
1,team/humans/dinis_cruz/briefs/03/17/vault-redesign/v0.16.3__arch-addendum__deterministic-addressing-and-sub-tree-model.md,Deterministic Addressing and the Sub-Tree Model,engineering,arch-addendum,/shipped/,clean,The {type}-{derivation}-{mutability}-{id} scheme is a genuinely novel teachable idea. Matches shipping code exactly.
1,team/humans/dinis_cruz/briefs/03/17/vault-redesign/v0.16.3__arch-simulation__deterministic-ids-and-indexes.md,Vault Access Simulation,engineering,arch-simulation,/shipped/,needs framing,Request-by-request traversal walkthroughs with actual request budgets. This is what show the mechanism looks like. Section F (deterministic indexes) must be marked future.
1,library/sgraph-send/file-transfer-engine/research/10-content-addressable-storage.md,Content-Addressable Storage and Delta Uploads,engineering,research,/shipped/ (background),needs framing,"Best CAS/Merkle-DAG primer in the repo (CDC, Buzhash, GC, restic/Borg/Git/IPFS). Must be labelled research - phases 1-5 unbuilt."
1,library/skills/create-infographics/SKILL.md,Infographic generator skill,infographics,skill,/infographics/ (method),clean,"The Playwright+OpenRouter PNG pipeline: 7 templates, 14 methods, ~$0.07 and ~13s per image."
1,team/humans/dinis_cruz/briefs/06/24/healthcare-data-protection/v0.33.34__dev-brief__sg-send-data-protection-infographics-guidance-chatgpt-images-medical-analogies-prompts.md,Infographic style preamble + 12 prompts,infographics,dev-brief,/infographics/ (template),clean,"THE MOST REUSABLE ARTEFACT FOR THE INFOGRAPHIC WORK: a style preamble, 12 ready prompts, a fixed icon cast, and model-handling tips. Swap the medical cast for a graph cast."
1,team/humans/dinis_cruz/briefs/05/14/v0.27.41__reference__per-tenant-vm-vs-kubernetes-infographics.md,Comparative critique of two infographics,infographics,reference,/infographics/ (rubric),clean,A worked quality rubric for judging generated infographics.
1,team/humans/dinis_cruz/briefs/07/02/product-roadmap/riskmandate-product-roadmap.svg,RiskMandate Product Roadmap (SVG),visual asset,svg,/infographics/,clean,"1600x900 vector, self-contained, on-palette. Names Register as vault graph, Graph viewer, Semantic graph on vaults. THE TEMPLATE for new graph infographics."
1,team/roles/cartographer/REFERENCE__from-issues-fs.md,The Cartographer Role,C25,role-ref,/maps/ (framing),LICENCE,"Source of C25: a graph says these things are connected; a map adds where they sit. Connectivity says what relates, position says what to do."
2,team/humans/dinis_cruz/briefs/06/22/market-cases-and-graph/v0.33.32__arch-brief__sg-send-agent-mandate-graph-path-driven-lenses-two-pass-crown-jewels-blast-radius.md,Agent Mandate Graph: Path-Driven Lenses,"worked example,C13",arch-brief,/examples/ (shorter entry),needs framing,Two-pass LETS method and avoid-the-blob applied to mandates.
2,team/humans/dinis_cruz/briefs/06/10/network-intelligence/v0.33.16__arch-brief__sg-send-company-intelligence-vault-semantic-graph-sources-outreach.md,Company Intelligence Vault,worked example,arch-brief,/examples/ (shorter entry),needs framing,Company graph built from public sources. Check for named companies before publishing.
2,team/humans/dinis_cruz/briefs/02/24/v0.6.17__architecture__solid-protocol-integration-complementary-architectures.md,Solid Protocol Integration,semantic-web lineage,architecture,/depth/against-schema-first/ (companion),needs framing,"Engages the semantic-web lineage directly (Solid, RDF, Berners-Lee). Contains 4 publishable Turtle/RDF blocks."
2,team/humans/dinis_cruz/briefs/03/30/v0.19.7__dev-brief__sgit-visualisation.md,sgit Visualisation (sg-git-graph),engineering,dev-brief,/shipped/,needs framing,"Renders real SGit vaults AND LLM conversation structures: each commit is an LLM interaction, the branch is the agent, the merge is the consolidation."
2,team/humans/dinis_cruz/briefs/03/09/v0.13.5__dev-brief__visual-workflow-graph-libraries.md,Visual Workflow and Graph Libraries,rendering,dev-brief,/origins/paths-not-taken/,LABEL AS NOT ADOPTED,"Tiered evaluation of Drawflow, LiteGraph.js, Mermaid, Flowy, D3, JointJS. NONE OF IT WAS ADOPTED - must be labelled as an evaluation that did not ship."
2,team/humans/dinis_cruz/briefs/03/17/vault-redesign/v0.16.3__arch-note__storage-backend-mapping.md,Storage Backend Mapping (incl. Neo4j/Neptune),engineering,arch-note,/origins/paths-not-taken/,FUTURE-VISION BANNER,"Maps the bare/ protocol onto filesystem, S3, DynamoDB, PostgreSQL, Redis, Neo4j/Neptune. Contains 4 Cypher blocks. Speculative - the doc carries its own banner at line 12."
2,team/humans/dinis_cruz/briefs/05/31/v0.31.7__dev-brief__sg-send-per-page-semantic-graphs-references-edge-rendering.md,Per-Page Semantic Graphs,C19,dev-brief,/depth/ (more shelf),needs framing,Serving a knowledge graph alongside each page of content. Not built.
2,team/humans/dinis_cruz/briefs/06/16/tools-and-memory/v0.33.38__arch-brief__sg-send-ephemeral-chat-and-file-based-memory-curated-context-token-optimisation.md,Ephemeral Chat and File-Based Memory,context engineering,arch-brief,/depth/ (more shelf),needs framing,Curated context and token optimisation - the practical side of graphs-as-memory.
2,team/humans/dinis_cruz/briefs/06/13/open-source-and-sovereignty/v0.33.26__strategy-brief__sovereignty-requires-open-source-code-and-data-schemas-thesis.md,Sovereignty Requires Open Source,schemas-as-sovereignty,strategy-brief,/depth/ (more shelf),clean,Schemas as a sovereignty question - pairs with OSMM.
